geoid,tvdma
31039,"Omaha, NE - IA - MO DMA"
53069,"Portland, OR - WA DMA"
35011,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
31109,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
31129,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
46099,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
48327,"San Angelo, TX DMA"
06091,"Sacramento - Stockton - Modesto, CA DMA"
21053,"Nashville, TN - KY DMA"
39063,"Toledo, OH - MI DMA"
48189,"Lubbock, TX DMA"
01027,"Birmingham, AL DMA"
48011,"Amarillo, TX -NM - OK DMA"
39003,"Lima, OH DMA"
13189,"Augusta, GA - SC DMA"
55111,"Madison, WI DMA"
05137,"Little Rock - Pine Bluff, AR DMA"
41063,"Spokane, WA - ID - MT - OR DMA"
42007,"Pittsburgh, PA - MD- WV DMA"
28061,"Hattiesburg - Laurel, MS DMA"
29083,"Kansas City, MO - KS DMA"
08109,"Denver, CO - NE - NV - WY DMA"
37037,"Raleigh - Durham, NC - VA DMA"
49033,"Salt Lake City, UT - ID - WY DMA"
40001,"Tulsa, OK - KS DMA"
39085,"Cleveland, OH DMA"
51775,"Roanoke - Lynchburg, VA - WV DMA"
51121,"Roanoke - Lynchburg, VA - WV DMA"
47065,"Chattanooga, TN - GA - NC DMA"
35035,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
35003,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
01091,"Montgomery, AL DMA"
56023,"Idaho Falls - Pocatello, ID - WY DMA"
29011,"Joplin - Pittsburg, MO - KS - OK DMA"
48057,"Houston, TX DMA"
51735,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
54075,"Roanoke - Lynchburg, VA - WV DMA"
48077,"Wichita Falls & Lawton, TX - OK DMA"
51095,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
31101,"Denver, CO - NE - NV - WY DMA"
31137,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
22019,"Lake Charles, LA DMA"
22111,"Monroe - El Dorado, LA - AR DMA"
40135,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
01049,"Huntsville - Decatur - Florence, AL - TN DMA"
36101,"Elmira, NY - PA DMA"
42053,"Johnstown - Altoona, PA DMA"
22105,"New Orleans, LA - MS DMA"
51179,"Washington, DC - MD - PA - VA - WV DMA"
26109,"Green Bay - Appleton, WI - MI DMA"
18073,"Chicago, IL - IN DMA"
13025,"Jacksonville, FL - Brunswick, GA DMA"
13171,"Atlanta, GA - AL - NC DMA"
18151,"Ft. Wayne, IN - OH DMA"
48361,"Beaumont - Port Arthur, TX DMA"
39047,"Columbus, OH DMA"
25015,"Springfield - Holyoke, MA DMA"
21003,"Nashville, TN - KY DMA"
37001,"Greensboro - H.Point - W.Salem, NC - VA DMA"
20073,"Wichita - Hutchinson Plus, KS - NE DMA"
25025,"Boston, MA - NH DMA"
16051,"Idaho Falls - Pocatello, ID - WY DMA"
48177,"San Antonio, TX DMA"
47115,"Chattanooga, TN - GA - NC DMA"
26007,"Alpena, MI DMA"
21231,"Lexington, KY DMA"
47185,"Nashville, TN - KY DMA"
