NETWORK_NAME,NETWORK_NAME_ROOT,NETWORK_SPEND_TYPE
Organic,Organic,Organic
2ndline.co,2ndline.co,Organic
Client Deprecation Update,Client Deprecation Update,Organic
Client Deprecation Upgrade,Client Deprecation Upgrade,Organic
Dating Campaign,Dating Campaign,Organic
Email,Email,Organic
FB Social,Facebook,Organic
Freelance Campaign,Freelance Campaign,Organic
GOYNIN60,GOYNIN60,Organic
Google Organic Search,Google Organic Search,Organic
Influencers,Influencers,Organic
Influencer,Influencers,Organic
Newsletter,Newsletter,Organic
Rakuten,Rakuten,Organic
Referral,Referral,Paid
Referral Program (from iOS client),Referral Program (from iOS client),Paid
SIM Card,SIM Card,Organic
Share Number Referral,Share Number Referral,Organic
Social,Social,Organic
Tatari Streaming TV (app),Tatari Streaming TV (app),Organic
Test Link 01,Test Link 01,Organic
Test Link 02,Test Link 02,Organic
TextNow Blog,TextNow Blog,Organic
TextNow.com Referral,TextNow.com Referral,Organic
Twitter Social,Twitter Social,Organic
Web,Web,Organic
Web Activation,Web Activation,Organic
WebQR,WebQR,Organic
Aarki,Aarki,Paid
AdAction,AdAction,Paid
Adcolony,Adcolony,Paid
Addict Mobile - Network Sustain,Addict Mobile,Paid
Adxperience,Adxperience,Paid
Amobee,Amobee,Paid
App Samurai,App Samurai,Paid
AppLift,AppLift,Paid
AppLovin,AppLovin,Paid
AppNext,AppNext,Paid
Appier,Appier,Paid
Apple Search Ads,Apple Search Ads,Paid
iAd Installs,Apple Search Ads,Paid
Appreciate,Appreciate,Paid
Apptrust,Apptrust,Paid
Aragon,Aragon,Paid
Audiomack,Audiomack,Paid
BatMobi,BatMobi,Paid
Beintoo,Beintoo,Paid
BidMotion,BidMotion,Paid
Bidease,Bidease,Paid
Bing,Bing,Paid
Bold Screen Media,Bold Screen Media,Paid
ByteDance,ByteDance,Paid
Centro,Centro,Paid
Cheetah Mobile,Cheetah Mobile,Paid
Choozle,Choozle,Paid
ClearPier,ClearPier,Paid
Click Cave,Click Cave,Paid
Clickbooth,Clickbooth,Paid
Clickky,Clickky,Paid
Conversant,Conversant,Paid
Cosmo,Cosmo,Paid
Creative Click,Creative Click,Paid
Criteo,Criteo,Paid
Cross Audience,Cross Audience,Paid
CrossInstall,CrossInstall,Paid
Curate,Curate Mobile,Paid
Curate Mobile,Curate Mobile,Paid
DataFirst,DataFirst,Paid
DataSeat,DataSeat,Paid
Digital Turbine,Digital Turbine,Paid
DoubleClick Installs,DoubleClick Installs,Paid
Edge,Edge,Paid
Expand Mobile,Expand Mobile,Paid
