FISCAL_DAY,UA_SPEND,CPI,PAID_INSTALL_TO_REG,ORGANIC_TO_PAID_REG,REG_TO_PU
2024-01-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-01,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-02,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-03,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-04,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-05,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-06,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-07,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-08,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-09,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-10,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-11,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-12,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-13,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-14,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-15,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-16,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-17,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-18,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-19,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-20,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-21,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-22,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-23,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-24,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-25,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-26,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-27,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-28,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-29,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
