subscription_rate_plan_id,code,details,roam,cdma,network,lte,data_link,pooled,data_size,mou_size,mrc,per_mou_overage_fee,per_mb_overage_fee,sms_overage_fee,plan_start_date,plan_end_date
1,EFIPLAN1,DISABLED - CDMA DATA TRANSPORT PLAN ROAM,1,0,0,0,0,0,,,0.75,,,,,2022-04-01
2,EFIPLAN2,DISABLED - CDMA DATA TRANSPORT NO ROAM,0,0,0,0,0,0,,,0.75,,,,,2022-04-01
3,EFIPLAN3,DISABLED - BUNDLE VOICE/SMS/DATA ROAM,1,1,0,0,0,0,,,0.75,,,,,2022-04-01
4,EFIPLAN4,BUNDLE VOICE/SMS/DATA NO ROAM,0,1,0,0,0,0,,,0.75,,,,,2022-04-01
5,kore100,Kore 100 plan,0,0,1,0,,,100,,4.2,0.021,0.021,,,2022-10-31
6,kore500,Kore 500 plan,0,0,1,0,,,500,,7.3,0.021,0.021,,,2022-10-31
7,kore1024,Kore 1024 plan,0,0,1,0,,,1024,,12.6,0.021,0.021,,,2022-10-31
8,kore2048,Kore 2048 plan,0,0,1,0,,,2048,,21.1,0.021,0.021,,,2022-10-31
9,kore100,Kore 100 plan with LTE,0,0,1,1,,,100,,4.2,0.021,0.021,,,2022-10-31
10,kore500,Kore 500 plan with LTE,0,0,1,1,,,500,,7.3,0.021,0.021,,,2022-10-31
11,kore1024,Kore 1024 plan with LTE,0,0,1,1,,,1024,,12.6,0.021,0.021,,,2022-10-31
12,kore2048,Kore 2048 plan with LTE,0,0,1,1,,,2048,,21.1,0.021,0.021,,,2022-10-31
14,EFIPLAN5,MRC PLUS NO ROAM LTE DATALINK,0,1,0,1,1,0,0,,0.75,0.0099,0.0099,0.002,,2022-04-30
15,EFIPLAN6,DISABLED - MRC PLUS ROAM LTE DATALINK,1,1,0,1,1,0,0,,0.75,0.0099,0.0099,0.002,,2022-04-30
16,EFIPLAN7,V/D/S MRC POOL NO ROAM CDMA,0,1,0,0,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
17,EFIPLAN8,DISABLED - V/D/S MRC POOL DOM ROAM CDMA,1,1,0,0,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
18,EFIPLAN13,DISABLED - V/D/S MRC POOL DOM-CAN RM LTE,1,1,0,1,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
19,EFIPLAN14,DISABLED -  V/D/S MRC POOL ALL ROAM LTE,1,1,0,1,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
20,EFIPLAN15,V/D/S MRC POOL NO ROAM LTE-DL,0,1,0,1,1,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
21,EFIPLAN16,DISABLED - V/D/S MRC POOL DOM ROAM LTE-DL,1,1,0,1,1,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
22,EFIPLAN11,V/D/S MRC POOL NO ROAM LTE,0,1,0,1,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
23,EFIPLAN12,DISABLED - V/D/S MRC POOL DOM ROAM LTE,1,1,0,1,0,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
24,EFIPLAN17,V/D/S MRC POOL ALL ROAM LTE-DL,1,1,0,1,1,1,1400,,9,0.0059,0.0059,0.001,,2022-04-30
25,EFIPLAN18,V/D/S POOL NO ROAM LTE-DL,0,1,0,1,1,1,150,,1.3,0.007,0.007,0.001,,2022-04-30
26,EFIPLAN19,V/D/S POOL ALL ROAM LTE-DL,1,1,0,1,1,1,150,,1.3,0.007,0.007,0.001,,2022-04-30
27,EFIPLAN20,V/D/S POOL TRIAL NOROAM LTE-DL,0,1,0,1,1,1,10240,2000,30,0.005,0.006,0.001,,2022-04-30
28,EFIPLAN21,V/D/S POOL TRIAL ALLROAM LTE-DL,1,1,0,1,1,1,10240,2000,30,0.005,0.006,0.001,,2022-04-30
29,PWG01,NationwideTalkText_DL,0,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2021-07-01,2023-05-01
29,PWG01,NationwideTalkText_DL,0,0,3,1,1,1,150,350,2.25,0.007,0.007,0.001,2021-07-01,2023-05-01
30,PWG02,NWTT_2GB_DL,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2021-07-01,2023-05-01
30,PWG02,NWTT_2GB_DL,1,0,3,1,1,1,1400,350,2.25,0.0055,0.0055,0.001,2021-07-01,2023-05-01
31,PWG03,NWTT_2GB_no-DL,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2021-07-01,2023-05-01
31,PWG03,NWTT_2GB_no-DL,1,0,3,1,1,1,1400,350,2.25,0.0055,0.0055,0.001,2021-07-01,2023-05-01
32,PWG04,NWTT_5GB_DL,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2021-07-01,2023-05-01
32,PWG04,NWTT_5GB_DL,1,0,3,1,1,1,1400,350,2.25,0.0055,0.0055,0.001,2021-07-01,2023-05-01
33,PWG05,NWTT_5GB_no-DL,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2021-07-01,2023-05-01
33,PWG05,NWTT_5GB_no-DL,1,0,3,1,1,1,1400,350,2.25,0.0055,0.0055,0.001,2021-07-01,2023-05-01
34,PWG06,TextNow_Emp_unlimited_no-DL,1,0,3,1,1,1,10240,2000,30,0.005,0.006,0.001,2021-07-01,2023-05-01
34,PWG06,TextNow_Emp_unlimited_no-DL,1,0,3,1,1,1,10240,350,2.25,0.0055,0.0055,0.001,2021-07-01,2023-05-01
35,PWG14,NationwideTalkText-DomRoam_DL,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2021-07-01,2023-05-01
