is_forecast,year_month,Margin_android_US,Margin_android_CA,Margin_ios_US,Margin_ios_CA,Margin_android_US_365,Margin_android_CA_365,Margin_ios_US_365,Margin_ios_CA_365,Margin_android_US_730,Margin_android_CA_730,Margin_ios_US_730,Margin_ios_CA_730
Actual,2022-01-31,0.166873955,0.087371290,0.051512622,0.026975342,0.154234465,0.097767768,0.054354762,0.021987698,0.158357189,0.095179422,0.044596434,0.019901386
Actual,2022-02-28,0.163517179,0.089402312,0.045407702,0.024564906,0.151930336,0.097256437,0.052880598,0.021155048,0.157668877,0.094917879,0.043882670,0.019496293
Actual,2022-03-31,0.161222440,0.096319130,0.049658067,0.025661891,0.151042579,0.097516493,0.052129997,0.020566439,0.157464363,0.094742331,0.043441566,0.019108618
Actual,2022-04-30,0.152139553,0.088039163,0.046308015,0.023533541,0.151045526,0.097533122,0.051205888,0.020003608,0.158012291,0.095070384,0.042857929,0.018816901
Actual,2022-05-31,0.142787550,0.090167035,0.047188921,0.030642719,0.151418784,0.098090489,0.050226484,0.019546624,0.158545906,0.095371420,0.042385521,0.018648399
Actual,2022-06-30,0.142433970,0.088322609,0.046263623,0.015477689,0.152824125,0.098276783,0.049181931,0.018346491,0.159768693,0.095931252,0.041829427,0.018211105
Actual,2022-07-31,0.145966023,0.091424759,0.049443391,0.016643728,0.155373054,0.099321294,0.048317916,0.018625791,0.161425320,0.096747709,0.041472948,0.018443897
Actual,2022-08-31,0.147310480,0.103596904,0.056326149,0.019062149,0.155908070,0.098913003,0.047146715,0.018666432,0.162884635,0.097392068,0.041018817,0.018649540
Actual,2022-09-30,0.159147123,0.107003820,0.063271340,0.014847693,0.157014901,0.097817337,0.045273717,0.018396037,0.164761491,0.097825698,0.040297968,0.018769124
Actual,2022-10-31,0.139098020,0.105029090,0.055230031,0.017724526,0.158241487,0.097190367,0.042976133,0.018677185,0.166695781,0.098436757,0.039312723,0.019075335
Actual,2022-11-30,0.172081415,0.114103029,0.070353483,0.023812206,0.160016370,0.096000126,0.041382699,0.018842220,0.169078822,0.098900002,0.038704879,0.019286260
Actual,2022-12-31,0.158235867,0.112434076,0.071293800,0.024905991,0.160911955,0.094440264,0.038236125,0.018343094,0.170782229,0.099399530,0.037492038,0.019258098
Actual,2023-01-31,0.139224407,0.081235314,0.033822649,0.016983537,0.162479913,0.092591076,0.034838105,0.017815074,0.173734731,0.100364706,0.036218716,0.019171818
Actual,2023-02-28,0.152864102,0.092522983,0.036400497,0.017501593,0.163407419,0.092579321,0.034884743,0.017837538,0.175209377,0.101286305,0.036300368,0.019300190
Actual,2023-03-31,0.161257798,0.096518680,0.038568751,0.018907921,0.163886147,0.091968169,0.034753135,0.017650798,0.175977417,0.101656170,0.036212802,0.019372349
Actual,2023-04-30,0.156618655,0.094727571,0.034555178,0.018049733,0.164979057,0.092607646,0.034509971,0.017630194,0.177452100,0.102484522,0.036228543,0.019494402
Actual,2023-05-31,0.159651641,0.092402564,0.034654280,0.016241129,0.165673028,0.092652351,0.034544558,0.017750175,0.178369886,0.102943519,0.036287458,0.019582705
Actual,2023-06-30,0.173021118,0.100856738,0.035895442,0.018829290,0.166713261,0.093585720,0.034476924,0.018075719,0.179596356,0.103756979,0.036374140,0.019764248
Actual,2023-07-31,0.152386211,0.086525268,0.035388985,0.017131419,0.167477585,0.094174124,0.034627981,0.018262003,0.180711790,0.104482124,0.036432464,0.019851033
Actual,2023-08-31,0.160592450,0.090448909,0.033850172,0.015817414,0.169861199,0.095871132,0.034890919,0.018632648,0.181945032,0.105365244,0.036445696,0.019971457
Actual,2023-09-30,0.173866163,0.099480181,0.035700330,0.018221462,0.172508081,0.097834058,0.035322218,0.019142210,0.183223315,0.106313941,0.036534835,0.020153240
Actual,2023-10-31,0.160396618,0.090746196,0.036108827,0.019704948,0.175150075,0.099683147,0.035649313,0.019473485,0.184141579,0.107000594,0.036546154,0.020234442
Actual,2023-11-30,0.182828425,0.095384689,0.032594585,0.017822688,0.178141275,0.101799879,0.036027059,0.019730300,0.185509010,0.107984836,0.036536730,0.020251748
Actual,2023-12-31,0.177051371,0.090243822,0.030517565,0.018569760,0.180652502,0.104358796,0.036747952,0.020173103,0.186532522,0.109125479,0.036702552,0.020363640
Actual,2024-01-31,0.150354469,0.081094245,0.034382304,0.017253098,0.184989549,0.108138336,0.037599327,0.020528562,0.187709974,0.110428961,0.036938115,0.020434983
Actual,2024-02-29,0.158608846,0.085189160,0.034821204,0.015260718,0.187011336,0.109993289,0.037715994,0.020762843,0.189334126,0.111704383,0.037049238,0.020573326
Actual,2024-03-31,0.174372712,0.104192407,0.035650786,0.018660668,0.188068686,0.111344172,0.037672469,0.021093901,0.190730730,0.112909621,0.037150512,0.020814808
Actual,2024-04-30,0.164946317,0.095264039,0.034970220,0.019489510,0.189925143,0.112361399,0.037947115,0.021358611,0.191509683,0.113324726,0.037221927,0.020917386
Actual,2024-05-31,0.172134429,0.103602988,0.033842664,0.020147654,0.191066744,0.113234687,0.038030358,0.021415235,0.192837851,0.114227761,0.037334513,0.020988780
Forecast,2024-06-30,0.182193015,0.107917589,0.037708129,0.021064702,0.192479451,0.113928238,0.038271356,0.021452778,0.193927505,0.114786959,0.037518294,0.021033050
Forecast,2024-07-31,0.180989575,0.106889364,0.038544245,0.021579156,0.193945995,0.114790124,0.038236947,0.021440063,0.194579421,0.115168591,0.037507748,0.021031291
Forecast,2024-08-31,0.192355030,0.114004022,0.039025760,0.021932153,0.194028865,0.114859356,0.038000473,0.021310267,0.195378824,0.115655604,0.037446777,0.020999064
Forecast,2024-09-30,0.205570098,0.121669249,0.039625465,0.022196763,0.193938549,0.114793824,0.037747452,0.021164270,0.195567811,0.115758828,0.037348091,0.020940746
Forecast,2024-10-31,0.196291006,0.116146977,0.040641784,0.022786725,0.193133083,0.114318041,0.037442995,0.020995400,0.194900992,0.115364800,0.037196266,0.020857011
Forecast,2024-11-30,0.212963160,0.126091697,0.041245292,0.023136324,0.192876746,0.114169793,0.037046400,0.020773196,0.194801705,0.115308930,0.036950158,0.020719175
Forecast,2024-12-31,0.229095930,0.135598291,0.040734069,0.022835277,0.192412543,0.113892162,0.036657153,0.020554178,0.193404670,0.114479487,0.036619763,0.020533240
Forecast,2025-01-31,0.174615918,0.103353692,0.035782307,0.020064466,0.190430399,0.112719586,0.036276904,0.020341404,0.190430399,0.112719586,0.036276904,0.020341404
Forecast,2025-02-28,0.171297044,0.101399751,0.034298908,0.019233409,0.191868079,0.113571031,0.036321867,0.020366580,0.191868079,0.113571031,0.036321867,0.020366580
Forecast,2025-03-31,0.196650194,0.116399127,0.038946532,0.021837189,0.193925182,0.114788159,0.036524163,0.020479897,0.193925182,0.114788159,0.036524163,0.020479897
Forecast,2025-04-30,0.178645530,0.105743495,0.035969134,0.020169000,0.193622403,0.114609163,0.036255011,0.020329087,0.193622403,0.114609163,0.036255011,0.020329087
Forecast,2025-05-31,0.189086914,0.111925600,0.036734642,0.020598167,0.195494512,0.115717371,0.036290746,0.020349098,0.195494512,0.115717371,0.036290746,0.020349098
Forecast,2025-06-30,0.199791539,0.118260224,0.037295227,0.020912131,0.196409883,0.116259053,0.036227332,0.020313516,0.196409883,0.116259053,0.036227332,0.020313516
Forecast,2025-07-31,0.181984019,0.107720148,0.035706555,0.020021595,0.195846274,0.115925524,0.036049349,0.020213747,0.195846274,0.115925524,0.036049349,0.020213747
Forecast,2025-08-31,0.191271238,0.113217637,0.035989506,0.020180197,0.198618725,0.117566600,0.036117908,0.020252178,0.198618725,0.117566600,0.036117908,0.020252178
Forecast,2025-09-30,0.195904502,0.115959852,0.035971985,0.020170322,0.200455597,0.118653840,0.036150009,0.020270173,0.200455597,0.118653840,0.036150009,0.020270173
Forecast,2025-10-31,0.193214957,0.114367999,0.035882648,0.020120281,0.201972628,0.119551836,0.036209350,0.020303457,0.201972628,0.119551836,0.036209350,0.020303457
Forecast,2025-11-30,0.207392724,0.122760126,0.036574321,0.020508100,0.206351464,0.122143755,0.036372701,0.020395045,0.206351464,0.122143755,0.036372701,0.020395045
Forecast,2025-12-31,0.205310205,0.121527383,0.036171081,0.020281989,0.205310205,0.121527383,0.036171081,0.020281989,0.205310205,0.121527383,0.036171081,0.020281989
